13/08/2023 - 04:28:29 PM	crxazwse(Joining/Connecting) connected from the server
13/08/2023 - 05:36:25 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:25 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:25 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:25 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:26 PM	Kserg31(Глава Отряда) entered 'discs_request'
13/08/2023 - 05:36:26 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:26 PM	unnonrp(OTA.HEAVY) entered 'discs_request'
13/08/2023 - 05:36:26 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:27 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:27 PM	💀 SCP-173 💀(UA)(Дезертир) entered 'discs_request'
13/08/2023 - 05:36:27 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:28 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:28 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:28 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:28 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:29 PM	Джейкоб Чурбан(UNIT.1) entered 'discs_request'
13/08/2023 - 05:36:29 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:29 PM	Egor Lisin(CMD.UNIT) entered 'discs_request'
13/08/2023 - 05:36:29 PM	Alex(UNIT.5) entered 'discs_request'
13/08/2023 - 05:36:29 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:30 PM	Mr.Lazy(Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:36:30 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:30 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:31 PM	Combine(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 05:36:31 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 05:36:31 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:31 PM	Эскадрон(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:31 PM	💀 SCP-173 💀(UA)(Дезертир) spawned a 'models/props_wasteland/controlroom_storagecloset001a.mdl'
13/08/2023 - 05:36:31 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:32 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:32 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:32 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:32 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:32 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 05:36:32 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:36:33 PM	Паралич мозга(Партизан) entered 'discs_request'
13/08/2023 - 05:36:33 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:33 PM	ыуыу(Грузчик ГСР) entered 'discs_request'
13/08/2023 - 05:36:33 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:33 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:34 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:34 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 05:36:34 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:34 PM	привет мой лучший(UNIT.4) entered 'discs_request'
13/08/2023 - 05:36:35 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:35 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:35 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:36 PM	Kserg31(Глава Отряда) entered 'discs_request'
13/08/2023 - 05:36:36 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:36 PM	unnonrp(OTA.HEAVY) entered 'discs_request'
13/08/2023 - 05:36:36 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:37 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:37 PM	💀 SCP-173 💀(UA)(Дезертир) entered 'discs_request'
13/08/2023 - 05:36:37 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:38 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:38 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:38 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:38 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:39 PM	Джейкоб Чурбан(UNIT.1) entered 'discs_request'
13/08/2023 - 05:36:39 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:39 PM	Egor Lisin(CMD.UNIT) entered 'discs_request'
13/08/2023 - 05:36:39 PM	Alex(UNIT.5) entered 'discs_request'
13/08/2023 - 05:36:39 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:40 PM	Allan(Гражданин) said 'Окей'
13/08/2023 - 05:36:40 PM	Mr.Lazy(Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:36:40 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:40 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:40 PM	Юпийо Юпией(Joining/Connecting) connected from the server
13/08/2023 - 05:36:41 PM	Combine(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 05:36:41 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:41 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 05:36:41 PM	Эскадрон(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:41 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:41 PM	[HURT] Виталя Спарда(Гражданин) hurt Виталя Спарда(Гражданин) with 1 damage using keys
13/08/2023 - 05:36:41 PM	[HURT] Паралич мозга(Партизан) hurt Паралич мозга(Партизан) with 1 damage using keys
13/08/2023 - 05:36:42 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:42 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:42 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:42 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 05:36:42 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:43 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:36:43 PM	Паралич мозга(Партизан) entered 'discs_request'
13/08/2023 - 05:36:43 PM	💀 SCP-173 💀(UA)(Дезертир) spawned a 'models/props_wasteland/controlroom_filecabinet002a.mdl'
13/08/2023 - 05:36:43 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:43 PM	ыуыу(Грузчик ГСР) entered 'discs_request'
13/08/2023 - 05:36:43 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:43 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:43 PM	Allan(Гражданин) said 'ГО-шники'
13/08/2023 - 05:36:44 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:44 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 05:36:44 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:44 PM	привет мой лучший(UNIT.4) entered 'discs_request'
13/08/2023 - 05:36:45 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:45 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:45 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:46 PM	Kserg31(Глава Отряда) entered 'discs_request'
13/08/2023 - 05:36:46 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:46 PM	unnonrp(OTA.HEAVY) entered 'discs_request'
13/08/2023 - 05:36:46 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:47 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:47 PM	💀 SCP-173 💀(UA)(Дезертир) entered 'discs_request'
13/08/2023 - 05:36:47 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:48 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:48 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:48 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:48 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:49 PM	Джейкоб Чурбан(UNIT.1) entered 'discs_request'
13/08/2023 - 05:36:49 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:49 PM	Egor Lisin(CMD.UNIT) entered 'discs_request'
13/08/2023 - 05:36:49 PM	Alex(UNIT.5) entered 'discs_request'
13/08/2023 - 05:36:49 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:50 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:50 PM	Mr.Lazy(Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:36:50 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:51 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 05:36:51 PM	Combine(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 05:36:51 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:51 PM	Эскадрон(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:51 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:51 PM	[HURT] Виталя Спарда(Гражданин) hurt Виталя Спарда(Гражданин) with 1 damage using keys
13/08/2023 - 05:36:51 PM	[HURT] Паралич мозга(Партизан) hurt Паралич мозга(Партизан) with 1 damage using keys
13/08/2023 - 05:36:52 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:52 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:52 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:52 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 05:36:52 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:52 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:36:53 PM	Паралич мозга(Партизан) entered 'discs_request'
13/08/2023 - 05:36:53 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:53 PM	ыуыу(Грузчик ГСР) entered 'discs_request'
13/08/2023 - 05:36:53 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:53 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:54 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:54 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 05:36:54 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:54 PM	привет мой лучший(UNIT.4) entered 'discs_request'
13/08/2023 - 05:36:55 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:55 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:55 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:56 PM	Kserg31(Глава Отряда) entered 'discs_request'
13/08/2023 - 05:36:56 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:56 PM	unnonrp(OTA.HEAVY) entered 'discs_request'
13/08/2023 - 05:36:56 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:57 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:57 PM	💀 SCP-173 💀(UA)(Дезертир) entered 'discs_request'
13/08/2023 - 05:36:57 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:58 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:58 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:58 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:58 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 05:36:59 PM	Джейкоб Чурбан(UNIT.1) entered 'discs_request'
13/08/2023 - 05:36:59 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:36:59 PM	Egor Lisin(CMD.UNIT) entered 'discs_request'
13/08/2023 - 05:36:59 PM	Alex(UNIT.5) entered 'discs_request'
13/08/2023 - 05:36:59 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:37:00 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:37:00 PM	Mr.Lazy(Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:00 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:37:01 PM	Combine(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 05:37:01 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 05:37:01 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:37:01 PM	Эскадрон(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:01 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:37:01 PM	[HURT] Виталя Спарда(Гражданин) hurt Виталя Спарда(Гражданин) with 1 damage using keys
13/08/2023 - 05:37:02 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:37:02 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:02 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:02 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 05:37:02 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:03 PM	Total Devastation(Гражданин) entered 'FTPToPos'
13/08/2023 - 05:37:03 PM	Total Devastation(Гражданин) entered 'FSpectate_StopSpectating'
13/08/2023 - 05:37:03 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:03 PM	Паралич мозга(Партизан) entered 'discs_request'
13/08/2023 - 05:37:03 PM	ыуыу(Грузчик ГСР) entered 'discs_request'
13/08/2023 - 05:37:03 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:04 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:04 PM	привет мой лучший(UNIT.4) entered 'discs_request'
13/08/2023 - 05:37:05 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:06 PM	Kserg31(Глава Отряда) entered 'discs_request'
13/08/2023 - 05:37:06 PM	unnonrp(OTA.HEAVY) entered 'discs_request'
13/08/2023 - 05:37:07 PM	💀 SCP-173 💀(UA)(Дезертир) entered 'discs_request'
13/08/2023 - 05:37:08 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:08 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:09 PM	Джейкоб Чурбан(UNIT.1) entered 'discs_request'
13/08/2023 - 05:37:09 PM	Egor Lisin(CMD.UNIT) entered 'discs_request'
13/08/2023 - 05:37:09 PM	Alex(UNIT.5) entered 'discs_request'
13/08/2023 - 05:37:10 PM	Mr.Lazy(Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:10 PM	Combine(Посыльный ГСР) said '/adminbeczhenec'
13/08/2023 - 05:37:10 PM	Combine(Беженец) changed his team from 'Посыльный ГСР' to 'Беженец'
13/08/2023 - 05:37:10 PM	💀 SCP-173 💀(UA)(Дезертир) spawned a 'models/Items/car_battery01.mdl'
13/08/2023 - 05:37:11 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 05:37:11 PM	Combine(Беженец) entered 'discs_request'
13/08/2023 - 05:37:11 PM	Эскадрон(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:11 PM	[HURT] Виталя Спарда(Гражданин) hurt Виталя Спарда(Гражданин) with 1 damage using keys
13/08/2023 - 05:37:12 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:12 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:12 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:13 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:13 PM	Паралич мозга(Партизан) entered 'discs_request'
13/08/2023 - 05:37:13 PM	ыуыу(Грузчик ГСР) entered 'discs_request'
13/08/2023 - 05:37:13 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:14 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:14 PM	привет мой лучший(UNIT.4) entered 'discs_request'
13/08/2023 - 05:37:15 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:16 PM	Kserg31(Глава Отряда) entered 'discs_request'
13/08/2023 - 05:37:16 PM	unnonrp(OTA.HEAVY) entered 'discs_request'
13/08/2023 - 05:37:17 PM	💀 SCP-173 💀(UA)(Дезертир) spawned a 'models/Items/ammocrate_ar2.mdl'
13/08/2023 - 05:37:17 PM	💀 SCP-173 💀(UA)(Дезертир) entered 'discs_request'
13/08/2023 - 05:37:18 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:18 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:19 PM	Джейкоб Чурбан(UNIT.1) entered 'discs_request'
13/08/2023 - 05:37:19 PM	Egor Lisin(CMD.UNIT) entered 'discs_request'
13/08/2023 - 05:37:19 PM	Alex(UNIT.5) entered 'discs_request'
13/08/2023 - 05:37:20 PM	Mr.Lazy(Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:20 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) used 'camera'
13/08/2023 - 05:37:21 PM	Combine(Беженец) entered 'discs_request'
13/08/2023 - 05:37:21 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 05:37:21 PM	Эскадрон(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:21 PM	[HURT] Виталя Спарда(Гражданин) hurt Виталя Спарда(Гражданин) with 1 damage using keys
13/08/2023 - 05:37:22 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:22 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:22 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:22 PM	Джейкоб Чурбан(UNIT.1) used door ram on 'prop_door_rotating'. Success : 'no'
13/08/2023 - 05:37:22 PM	Джейкоб Чурбан(UNIT.1) used door ram on 'prop_door_rotating'. Success : 'no'
13/08/2023 - 05:37:23 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:23 PM	Паралич мозга(Партизан) entered 'discs_request'
13/08/2023 - 05:37:23 PM	Джейкоб Чурбан(UNIT.1) used door ram on 'prop_door_rotating'. Success : 'no'
13/08/2023 - 05:37:23 PM	Джейкоб Чурбан(UNIT.1) used door ram on 'prop_door_rotating'. Success : 'no'
13/08/2023 - 05:37:23 PM	ыуыу(Грузчик ГСР) entered 'discs_request'
13/08/2023 - 05:37:23 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:24 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:24 PM	Allan(Гражданин) spawned a 'models/chairs/armchair.mdl'
13/08/2023 - 05:37:24 PM	привет мой лучший(UNIT.4) entered 'discs_request'
13/08/2023 - 05:37:25 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:26 PM	Kserg31(Глава Отряда) entered 'discs_request'
13/08/2023 - 05:37:26 PM	unnonrp(OTA.HEAVY) entered 'discs_request'
13/08/2023 - 05:37:27 PM	💀 SCP-173 💀(UA)(Дезертир) entered 'discs_request'
13/08/2023 - 05:37:28 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:28 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:29 PM	Джейкоб Чурбан(UNIT.1) entered 'discs_request'
13/08/2023 - 05:37:29 PM	Egor Lisin(CMD.UNIT) entered 'discs_request'
13/08/2023 - 05:37:29 PM	Alex(UNIT.5) entered 'discs_request'
13/08/2023 - 05:37:29 PM	Allan(Гражданин) spawned a 'models/maxofs2d/cube_tool.mdl'
13/08/2023 - 05:37:30 PM	Mr.Lazy(Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:31 PM	Combine(Беженец) entered 'discs_request'
13/08/2023 - 05:37:31 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 05:37:31 PM	Эскадрон(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:31 PM	Allan(Гражданин) spawned a 'models/maxofs2d/construct_sign.mdl'
13/08/2023 - 05:37:31 PM	[HURT] Виталя Спарда(Гражданин) hurt Виталя Спарда(Гражданин) with 1 damage using keys
13/08/2023 - 05:37:32 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:32 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:32 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:32 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:33 PM	Паралич мозга(Партизан) entered 'discs_request'
13/08/2023 - 05:37:33 PM	ыуыу(Грузчик ГСР) entered 'discs_request'
13/08/2023 - 05:37:33 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:33 PM	Allan(Гражданин) spawned a 'models/maxofs2d/gm_painting.mdl'
13/08/2023 - 05:37:34 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:34 PM	привет мой лучший(UNIT.4) entered 'discs_request'
13/08/2023 - 05:37:35 PM	Egor Lisin(CMD.UNIT) said 'хуесос'
13/08/2023 - 05:37:35 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:36 PM	Kserg31(Глава Отряда) entered 'discs_request'
13/08/2023 - 05:37:36 PM	unnonrp(OTA.HEAVY) entered 'discs_request'
13/08/2023 - 05:37:37 PM	💀 SCP-173 💀(UA)(Дезертир) entered 'discs_request'
13/08/2023 - 05:37:38 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:38 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:39 PM	Джейкоб Чурбан(UNIT.1) entered 'discs_request'
13/08/2023 - 05:37:39 PM	Egor Lisin(CMD.UNIT) entered 'discs_request'
13/08/2023 - 05:37:39 PM	Alex(UNIT.5) entered 'discs_request'
13/08/2023 - 05:37:39 PM	Лейзи Лейзович(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:40 PM	Mr.Lazy(Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:41 PM	Combine(Беженец) entered 'discs_request'
13/08/2023 - 05:37:41 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 05:37:41 PM	Эскадрон(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:41 PM	[HURT] Виталя Спарда(Гражданин) hurt Виталя Спарда(Гражданин) with 1 damage using keys
13/08/2023 - 05:37:42 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:42 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:42 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:42 PM	💀 SCP-173 💀(UA)(Дезертир) spawned a 'models/props_junk/wood_crate001a.mdl'
13/08/2023 - 05:37:42 PM	Лейзи Лейзович(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:42 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 05:37:43 PM	Паралич мозга(Партизан) entered 'discs_request'
13/08/2023 - 05:37:43 PM	Лейзи Лейзович(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:43 PM	Лейзи Лейзович(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:43 PM	Лейзи Лейзович(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:43 PM	Лейзи Лейзович(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:43 PM	Лейзи Лейзович(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:43 PM	Лейзи Лейзович(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:43 PM	ыуыу(Грузчик ГСР) entered 'discs_request'
13/08/2023 - 05:37:43 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:44 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 05:37:44 PM	привет мой лучший(UNIT.4) entered 'discs_request'
13/08/2023 - 05:37:45 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 05:37:46 PM	Kserg31(Глава Отряда) entered 'discs_request'
13/08/2023 - 05:37:46 PM	unnonrp(OTA.HEAVY) entered 'discs_request'
13/08/2023 - 05:37:47 PM	Барни Барнакл(Гражданин) said 'Juj'
13/08/2023 - 05:37:47 PM	💀 SCP-173 💀(UA)(Дезертир) entered 'discs_request'
13/08/2023 - 05:37:48 PM	💀 SCP-173 💀(UA)(Дезертир) spawned a 'models/props_junk/cardboard_box001a.mdl'
13/08/2023 - 05:37:48 PM	Барни Барнакл(Гражданин) entered 'discs_request'
